month,mm,oc,rh,lv
Jan-92,13.6,-0.2,68,서울
Feb-92,46.6,0.7,62,서울
Mar-92,11.2,7.6,58,서울
Apr-92,76.5,12,59,서울
May-92,155.5,16.4,65,서울
Jun-92,99.6,20.9,66,서울
Jul-92,270.1,24.8,81,서울
Aug-92,418.8,24.8,77,서울
Sep-92,168.5,20.9,71,서울
Oct-92,33.6,14,70,서울
Nov-92,89.5,6.2,67,서울
Dec-92,71.4,1.5,65,서울
Jan-93,2.2,-1.9,62,서울
Feb-93,69.5,1,63,서울
Mar-93,29.2,5.8,63,서울
Apr-93,85.5,10.6,63,서울
May-93,135.7,18.2,64,서울
Jun-93,198.2,21.3,78,서울
Jul-93,424.4,23.3,77,서울
Aug-93,197.8,23.2,80,서울
Sep-93,56.1,21.2,67,서울
Oct-93,15.4,13.4,61,서울
Nov-93,66.6,8.5,70,서울
Dec-93,12.1,-0.2,62,서울
Jan-94,6.5,-0.9,58,서울
Feb-94,14.8,0.8,55,서울
Mar-94,31.7,4,60,서울
Apr-94,44.9,15.2,53,서울
May-94,152.4,17.9,67,서울
Jun-94,85,22.8,68,서울
Jul-94,139.5,28.5,79,서울
Aug-94,232.7,27.6,76,서울
Sep-94,60.7,21,69,서울
Oct-94,214.5,15.2,71,서울
Nov-94,49.6,9.3,63,서울
Dec-94,23.5,1.1,60,서울
Jan-95,11.6,-2.1,52,서울
Feb-95,5.2,1.2,56,서울
Mar-95,60.6,6,64,서울
Apr-95,44.4,11.3,54,서울
May-95,60.6,17.1,58,서울
Jun-95,70.7,21.6,71,서울
Jul-95,436.1,24.5,81,서울
Aug-95,786.6,26,85,서울
Sep-95,47.2,20,68,서울
Oct-95,39.3,15.5,61,서울
Nov-95,32.9,6.2,57,서울
Dec-95,3.4,-1,55,서울
Jan-96,16.3,-2.2,51,서울
Feb-96,1,-1.6,47,서울
Mar-96,77.9,4.9,54,서울
Apr-96,62,10.2,52,서울
May-96,29.3,18.4,58,서울
Jun-96,249.7,22.3,75,서울
Jul-96,512.8,24.4,76,서울
Aug-96,132.4,26,73,서울
Sep-96,11,22,66,서울
