mm,oc,rh,lv
13.6,-0.2,68,서울
46.6,0.7,62,서울
11.2,7.6,58,서울
76.5,12,59,서울
155.5,16.4,65,서울
99.6,20.9,66,서울
270.1,24.8,81,서울
418.8,24.8,77,서울
168.5,20.9,71,서울
33.6,14,70,서울
89.5,6.2,67,서울
71.4,1.5,65,서울
2.2,-1.9,62,서울
69.5,1,63,서울
29.2,5.8,63,서울
85.5,10.6,63,서울
135.7,18.2,64,서울
198.2,21.3,78,서울
424.4,23.3,77,서울
197.8,23.2,80,서울
56.1,21.2,67,서울
15.4,13.4,61,서울
66.6,8.5,70,서울
12.1,-0.2,62,서울
6.5,-0.9,58,서울
14.8,0.8,55,서울
31.7,4,60,서울
44.9,15.2,53,서울
152.4,17.9,67,서울
85,22.8,68,서울
139.5,28.5,79,서울
232.7,27.6,76,서울
60.7,21,69,서울
214.5,15.2,71,서울
49.6,9.3,63,서울
23.5,1.1,60,서울
11.6,-2.1,52,서울
5.2,1.2,56,서울
60.6,6,64,서울
44.4,11.3,54,서울
60.6,17.1,58,서울
70.7,21.6,71,서울
436.1,24.5,81,서울
786.6,26,85,서울
47.2,20,68,서울
39.3,15.5,61,서울
32.9,6.2,57,서울
3.4,-1,55,서울
16.3,-2.2,51,서울
1,-1.6,47,서울
77.9,4.9,54,서울
62,10.2,52,서울
29.3,18.4,58,서울
249.7,22.3,75,서울
512.8,24.4,76,서울
132.4,26,73,서울
11,22,66,서울
90.3,14.5,63,서울
62.9,6.1,64,서울
11,1.6,59,서울
16.8,-3.3,58,서울
39.6,0.7,54,서울
25.3,6.8,56,서울
56.1,13,55,서울
291.3,17,66,서울
110,23.4,65,서울
299.6,26.1,80,서울
117.2,26.8,71,서울
76.9,20.2,63,서울
45.5,13.4,55,서울
93.8,8.8,61,서울
38.1,1.8,59,서울
10.4,-1.3,59,서울
32.3,3.4,59,서울
45.1,7.3,58,서울
120.2,15.6,65,서울
121.5,19,59,서울
234.1,21.9,67,서울
311.8,24.9,75,서울
1237.8,25,79,서울
177.9,23,70,서울
27.4,17,67,서울
26.9,7.3,61,서울
3.7,2.3,60,서울
10.2,-0.8,58,서울
2.9,0.7,60,서울
55,6.7,50,서울
97.2,13.9,59,서울
109.7,17.5,66,서울
131.8,23.1,68,서울
230.4,25.9,73,서울
600.5,26,74,서울
